,N_cf,N_cs,N_uf,N_us,N_f,N_s,Tarantula,Zoltar,Sokal,Fossum
156,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
158,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
160,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
161,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
162,8,145,1,46,9,191,0.5393575714789975,4.4100460849815884e-05,0.4251968503937008,9.15032679738562
163,8,145,1,46,9,191,0.5393575714789975,4.4100460849815884e-05,0.4251968503937008,9.15032679738562
165,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
166,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
168,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
170,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
171,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
172,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
173,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
174,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
175,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
178,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
179,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
180,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
182,0,0,9,191,9,191,,,0.9769820971867008,inf
183,0,0,9,191,9,191,,,0.9769820971867008,inf
184,0,0,9,191,9,191,,,0.9769820971867008,inf
186,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
187,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
188,0,0,9,191,9,191,,,0.9769820971867008,inf
189,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
190,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
191,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
192,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
194,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
195,0,0,9,191,9,191,,,0.9769820971867008,inf
196,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
197,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
198,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
199,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
200,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
202,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
204,7,154,2,37,9,191,0.4910025706940874,1.5903199496550142e-05,0.36065573770491804,6.531400966183575
205,0,0,9,191,9,191,,,0.9769820971867008,inf
206,0,0,9,191,9,191,,,0.9769820971867008,inf
208,7,154,2,37,9,191,0.4910025706940874,1.5903199496550142e-05,0.36065573770491804,6.531400966183575
210,0,0,9,191,9,191,,,0.9769820971867008,inf
211,0,0,9,191,9,191,,,0.9769820971867008,inf
213,0,0,9,191,9,191,,,0.9769820971867008,inf
214,0,0,9,191,9,191,,,0.9769820971867008,inf
215,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
217,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
219,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
222,3,69,6,122,9,191,0.47989949748743715,2.173790177076948e-06,0.7692307692307693,2.1604938271604937
224,0,1,9,190,9,191,0.0,0.0,0.9743589743589743,6.222222222222222
226,0,0,9,191,9,191,,,0.9769820971867008,inf
230,0,3,9,188,9,191,0.0,0.0,0.9690721649484536,2.074074074074074
233,8,147,1,44,9,191,0.5359522974394949,4.350048394288387e-05,0.4126984126984127,9.03225806451613
236,8,156,1,35,9,191,0.5211459754433834,4.0990956370250814e-05,0.35390946502057613,8.536585365853659
239,9,28,0,163,9,191,0.8721461187214612,0.24324324324324326,0.9247311827956989,48.6006006006006
241,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
243,0,0,9,191,9,191,,,0.9769820971867008,inf
244,0,0,9,191,9,191,,,0.9769820971867008,inf
245,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
247,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
249,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
252,0,0,9,191,9,191,,,0.9769820971867008,inf
254,0,1,9,190,9,191,0.0,0.0,0.9743589743589743,6.222222222222222
256,0,1,9,190,9,191,0.0,0.0,0.9743589743589743,6.222222222222222
258,0,1,9,190,9,191,0.0,0.0,0.9743589743589743,6.222222222222222
260,0,0,9,191,9,191,,,0.9769820971867008,inf
262,7,104,2,87,9,191,0.5882094148702156,2.3548736994729407e-05,0.6394557823129252,9.473473473473474
264,6,111,3,80,9,191,0.5342657342657343,1.08084738434933e-05,0.6013986013986014,6.434947768281102
266,7,123,2,68,9,191,0.5470540098199673,1.991122033837697e-05,0.5454545454545454,8.088888888888889
268,8,129,1,62,9,191,0.5682409817776125,4.956998041985773e-05,0.5185185185185185,10.218978102189782
269,2,37,7,154,9,191,0.5342657342657342,1.5443466872991384e-06,0.8764044943820225,1.435897435897436
270,2,37,7,154,9,191,0.5342657342657342,1.5443466872991384e-06,0.8764044943820225,1.435897435897436
272,8,110,1,81,9,191,0.6068308181096108,5.813150800398201e-05,0.615916955017301,11.864406779661017
274,9,13,0,178,9,191,0.9362745098039216,0.4090909090909091,0.9664082687338501,81.73737373737374
276,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
278,0,0,9,191,9,191,,,0.9769820971867008,inf
279,0,0,9,191,9,191,,,0.9769820971867008,inf
280,9,160,0,31,9,191,0.5441595441595442,0.05325443786982249,0.3333333333333333,10.640368178829718
